Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,qty (product.metafields.custom.qty),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
blooming-rose,Blooming Beauty Lipstick Combo,"<p><span data-mce-fragment=""1""><span style=""text-decoration: underline;""><strong>Lakmē Rouge Bloom Matte Lip Liquid: </strong></span> ""In a world that never pauses, the Lakme Showstopper Rouge Bloom Matte Lip Liquid is your chance to slow down and embrace the elegance of your beauty routine. This isn’t just lipstick; it’s a statement, a commitment to self-care and savouring the ritual of getting ready. Each swipe of this lipstick envelops your lips in rich, intense colour that’s 100% matte, 100% weightless, and 100% life-proof—no matter what your day holds. Infused with Vita Rose, an extract from the English tea rose, this luxurious formula offers more than just long-lasting wear. It provides 2x hydration, ensuring your lips stay smooth, soft, and comfortable for up to 14 hours. The lipstick glides on effortlessly, blurring imperfections and leaving a flawless, crease-free colour that lasts through everything—food, water, sweat, and more. Available in 16 captivating shades, from rich reds and pretty pinks to deep purples, nudes, and beautiful browns, this high impact lipstick is the ultimate accessory for any look and mood. Quick-drying and transfer-proof, it’s made for those who demand beauty that lasts as long as they do. So, take your time, relish the experience, and let your lips bloom with every shade of the Lakme Showstopper Rouge Bloom Lip Liquid."" </span></p>
<p><span data-mce-fragment=""1""><span style=""text-decoration: underline;""><strong> Lakmē Rouge Bloom Powder Matte Bullet </strong></span> ""In a world that never slows down, Lakmé Rouge Bloom Powder Matte Bullet Lipstick is your bold declaration of taking time to savor your own self. It’s time to embrace the blossom of beauty in slow with a lipstick that reflects your commitment to self-care and elegance. Infused with Vita-Rose, an extract from the English tea rose, this beautiful lipstick offers ten stunning shades that promise a smooth and easy to apply experience. Each shade not only blurs imperfections but also provides full, even coverage with just one swipe, ensuring a flawless look with minimal effort. Experience the luxury of up to 10 hours of long wear, featuring a high-impact matte finish that combines petal-light powders for a weightless feel and a color payoff as deep and intense as ink. This innovative formula guarantees zero smudging or flaking, so your lips maintain a beautifully bold and flawless appearance throughout the day. With its transfer-resistant properties, The Lakmé Rouge Bloom Bullet Lipstick is perfect for any occasion, season, or reason. Embrace a striking, long-lasting color that makes you look and feel your best no matter where the day takes you. Discover the ultimate in lip color sophistication with Lakmé Rouge Bloom Powder Matte Bullet."" </span></p>",Lakmē,Health & Beauty > Personal Care > Cosmetics > Makeup > Lip Makeup > Lipsticks,Lips,"Badge:online_early_access, bloom_rough, bundles, Fly Bundles, num-2, rough",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,2198.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/VB-BloomingBeauty.jpg?v=1734433790,1,"",false,,,'2,,,,,,kg,,,active
blooming-rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/1727158222761_1cfda892-78c2-4ee9-a68a-b0f62d9af9e1.jpg?v=1734433790,2,"",,,,,,,,,,,,,
blooming-rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/29966_S6-8909106015982_2613b550-dea6-4047-822e-bd2adc866b70.jpg?v=1734433790,3,"",,,,,,,,,,,,,
blooming-rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/29966_S7-8909106015982_ba81faa4-879b-4253-856c-693d9318d8b9.jpg?v=1734433790,4,"",,,,,,,,,,,,,
blooming-rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/29966_S4-8909106015982_90418f6c-7517-4f8c-b70f-da1bb883fdaa.jpg?v=1734433790,5,"",,,,,,,,,,,,,
blooming-rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/29966_S3-8909106015982_95a5b941-786c-4387-8969-dfe9d87456d8.jpg?v=1734433790,6,"",,,,,,,,,,,,,
blooming-rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/29957_H-8909106016323_33abe15b-f34b-45c6-b526-c9dbcd546c40.jpg?v=1734433791,7,"",,,,,,,,,,,,,
blooming-rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/29957_S7-8909106016323_b7288df7-ae70-48ac-b40a-f649e3d52668.jpg?v=1734433791,8,"",,,,,,,,,,,,,
blooming-rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/29957_S2-8909106016323_949d15df-29df-48e6-8da1-4da7691e9b37.jpg?v=1734433791,9,"",,,,,,,,,,,,,
blooming-rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/29957_S3-8909106016323_ba6c835f-d607-407b-ae23-b77866121139.jpg?v=1734433791,10,"",,,,,,,,,,,,,
