Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,qty (product.metafields.custom.qty),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
lakme-absolute-plump-shine-lip-gloss,Lakmē Absolute Plump & Shine Lip Gloss,"<p data-mce-fragment=""1"">Extra shine, extra plump &amp; extra glossy! 3D by nature, this super chic Plump &amp; Shine Lip Gloss by Lakmé contains Marine Collagen &amp; high-shine pigments that keep your lips full and hydrated at all times. It lasts 6 hours long and redefines pout perfection!</p>
<!-- split -->
<p>Step 1: Open the cap.<br>Step 2: Start applying from the centre of your upper lip.<br>Step 3: Work from the centre towards the outer edges of your lip, following the contours of your mouth.<br>Step 4: Glide across the entire bottom lip.</p>",Lakme India,Health & Beauty > Personal Care > Cosmetics > Makeup > Lip Makeup > Lipsticks,Lips,"500-1000, absolute, active_product, all_products, bb_lips_lipgloss, bestseller-giftset, Category_Lips, color-beige-shine, color-candy-shine, color-cherry-shine, color-crimson-shine, color-pink-shine, color-plum-shine, color-red-shine, coupon_product, gloss, lakme absolute plump & shine lip gloss, lakme absolute plump & shine lip gloss beige shine, lakme absolute plump & shine lip gloss candy shine, lakme absolute plump & shine lip gloss pink shine, lakme absolute plump & shine lip gloss plum shine, lakme absolute plump & shine lip gloss red shine, lip gloss, lip_shades_tag2, lips, liquid-lipstick, liquid-lipstick-nav, magicpin, Makeup_Lips, nosale, ONDC, pink-shade-lips, red-shade-collection, review_sectionss, shimmer, Shop, single_sku, top_sale_40, under-500, youcam",TRUE,Color,Beige Shine,,Size,S,,,,,'22783,3,shopify,100,deny,manual,680,800,TRUE,TRUE,,,,,'8901030367434,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/LakmeAbsolutePlump_ShineLipGlossBeigeShine.jpg?v=1734432971,1,beige-shine,FALSE,Buy Lakmé Absolute Plump & Shine Lip Gloss Online - LakméIndia,Buy Lakmé Absolute Plump & Shine Lip Gloss At Best Price Only At LakméIndia ✔Choose From A Wide Range Of Lakmé Absolute Plump & Shine Lip Gloss Shades ✔Your One Stop Destination To Buy Lakmé Plump & Shine Lip Gloss ✔COD ✔Free Delivery,,,,,,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/LakmeAbsolutePlump_ShineLipGlossBeigeShine.jpg?v=1734432971,g,,,active
lakme-absolute-plump-shine-lip-gloss,,,,,,,,,Candy Shine,,,M,,,,,'22786,3,shopify,100,deny,manual,400,500,TRUE,TRUE,,,,,'8901030367465,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/beige-shine.jpg?v=1734432971,2,beige-shine,,,,,,,,,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/LakmeAbsolutePlump_ShineLipGlossCandyShine.jpg?v=1734432971,g,,,
lakme-absolute-plump-shine-lip-gloss,,,,,,,,,Plum Shine,,,L,,,,,'22787,3,shopify,100,deny,manual,680,800,TRUE,TRUE,,,,,'8901030367472,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/untitled5_4_-Copy_5cae2236-b19b-405d-8316-109599e8f63e.jpg?v=1734432971,3,beige-shine,,,,,,,,,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/LakmeAbsolutePlump_ShineLipGlossPlumShine.jpg?v=1734432971,g,,,
lakme-absolute-plump-shine-lip-gloss,,,,,,,,,Pink Shine,,,XL,,,,,'23252,3,shopify,100,deny,manual,680,800,TRUE,TRUE,,,,,'8901030476211,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/Range-Plum-and-shine.jpg?v=1734432971,4,beige-shine,,,,,,,,,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/LakmeAbsolutePlump_ShineLipGlossPinkShine.jpg?v=1734432971,g,,,
lakme-absolute-plump-shine-lip-gloss,,,,,,,,,Red Shine,,,S,,,,,'23250,3,shopify,100,deny,manual,680,800,TRUE,TRUE,,,,,'8901030476198,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/Plump-_-Shine.jpg?v=1734432971,5,beige-shine,,,,,,,,,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/LakmeAbsolutePlump_ShineLipGlossRedShine.jpg?v=1734432971,g,,,
lakme-absolute-plump-shine-lip-gloss,,,,,,,,,Cherry Shine,,,M,,,,,'22785,3,shopify,100,deny,manual,400,500,TRUE,TRUE,,,,,'8901030367458,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/LakmeAbsolutePlump_ShineLipGlossCandyShine.jpg?v=1734432971,6,candy-shine,,,,,,,,,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/LakmeAbsolutePlump_ShineLipGlossCherryShine.jpg?v=1734432971,g,,,
lakme-absolute-plump-shine-lip-gloss,,,,,,,,,Crimson Shine,,,L,,,,,'23256,3,shopify,100,deny,manual,400,500,TRUE,TRUE,,,,,'8901030476303,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/candy-shine.jpg?v=1734432971,7,candy-shine,,,,,,,,,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/LakmeAbsolutePlump_ShineLipGlossCrimsonShine.jpg?v=1734432971,g,,,
lakme-absolute-plump-shine-lip-gloss,,,,,,,,,Rose Shine,,,XL,,,,,'23246,3,shopify,100,deny,manual,680,800,TRUE,TRUE,,,,,'8901030476150,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/untitled5_3_-Copy.jpg?v=1734432971,8,candy-shine,,,,,,,,,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/23246_S1-8901030476150_776b2325-83bd-43d7-b9ae-5297d441d8de.jpg?v=1734432971,g,,,
blooming-rose,Blooming Beauty Lipstick Combo,"<p><span data-mce-fragment=""1""><span style=""text-decoration: underline;""><strong>Lakmē Rouge Bloom Matte Lip Liquid: </strong></span> ""In a world that never pauses, the Lakme Showstopper Rouge Bloom Matte Lip Liquid is your chance to slow down and embrace the elegance of your beauty routine. This isn’t just lipstick; it’s a statement, a commitment to self-care and savouring the ritual of getting ready. Each swipe of this lipstick envelops your lips in rich, intense colour that’s 100% matte, 100% weightless, and 100% life-proof—no matter what your day holds. Infused with Vita Rose, an extract from the English tea rose, this luxurious formula offers more than just long-lasting wear. It provides 2x hydration, ensuring your lips stay smooth, soft, and comfortable for up to 14 hours. The lipstick glides on effortlessly, blurring imperfections and leaving a flawless, crease-free colour that lasts through everything—food, water, sweat, and more. Available in 16 captivating shades, from rich reds and pretty pinks to deep purples, nudes, and beautiful browns, this high impact lipstick is the ultimate accessory for any look and mood. Quick-drying and transfer-proof, it’s made for those who demand beauty that lasts as long as they do. So, take your time, relish the experience, and let your lips bloom with every shade of the Lakme Showstopper Rouge Bloom Lip Liquid."" </span></p>
<p><span data-mce-fragment=""1""><span style=""text-decoration: underline;""><strong> Lakmē Rouge Bloom Powder Matte Bullet </strong></span> ""In a world that never slows down, Lakmé Rouge Bloom Powder Matte Bullet Lipstick is your bold declaration of taking time to savor your own self. It’s time to embrace the blossom of beauty in slow with a lipstick that reflects your commitment to self-care and elegance. Infused with Vita-Rose, an extract from the English tea rose, this beautiful lipstick offers ten stunning shades that promise a smooth and easy to apply experience. Each shade not only blurs imperfections but also provides full, even coverage with just one swipe, ensuring a flawless look with minimal effort. Experience the luxury of up to 10 hours of long wear, featuring a high-impact matte finish that combines petal-light powders for a weightless feel and a color payoff as deep and intense as ink. This innovative formula guarantees zero smudging or flaking, so your lips maintain a beautifully bold and flawless appearance throughout the day. With its transfer-resistant properties, The Lakmé Rouge Bloom Bullet Lipstick is perfect for any occasion, season, or reason. Embrace a striking, long-lasting color that makes you look and feel your best no matter where the day takes you. Discover the ultimate in lip color sophistication with Lakmé Rouge Bloom Powder Matte Bullet."" </span></p>",Lakmē,Health & Beauty > Personal Care > Cosmetics > Makeup > Lip Makeup > Lipsticks,Lips,"Badge:online_early_access, bloom_rough, bundles, Fly Bundles, num-2, rough",TRUE,Title,Default Title,,,,,,,,,0,,0,deny,manual,2198,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0825/6713/5537/files/VB-BloomingBeauty.jpg?v=1734433790,1,,FALSE,,,'2,,,,,,kg,,,active
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,candy-shine,,,,,,,,,,,,,
